Lex comparison: SP vs True — sorted by priority descending
 PatientID     SP   True    Priority     Verdict
--------------------------------------------------
      2424      Y      Y       10000        both
      3112      Y      Y        9999        both
      2790      Y      Y        9998        both
      4926      Y      Y        9997        both
      1821      Y      Y        9996        both
      5262      Y      Y        9995        both
      5462      Y      Y        9994        both
      7191      Y      Y        9993        both
      3893      Y      Y        9992        both
       573      Y      Y        9991        both
      7742      N      N        9990     neither
      4364      Y      Y        9989        both
      7635      Y      Y        9988        both
      2849      Y      Y        9987        both
      1072      Y      Y        9986        both
      2762      Y      Y        9985        both
      2941      Y      Y        9984        both
      5189      Y      Y        9983        both
       507      Y      Y        9982        both
      2842      Y      Y        9981        both
      7423      Y      Y        9980        both
      4096      Y      Y        9979        both
      3741      Y      Y        9978        both
      2321      Y      Y        9977        both
      6788      Y      Y        9976        both
      2802      Y      Y        9975        both
      3679      Y      Y        9974        both
      1490      Y      Y        9973        both
      9272      Y      Y        9972        both
      6756      Y      Y        9971        both
      8388      Y      Y        9970        both
      3541      Y      Y        9969        both
      9226      Y      Y        9968        both
      8428      Y      Y        9967        both
      4812      Y      Y        9966        both
       983      Y      Y        9965        both
       981      Y      Y        9964        both
      5590      Y      Y        9963        both
      4727      Y      Y        9962        both
      1655      Y      Y        9961        both
      6489      Y      Y        9960        both
      3310      Y      Y        9959        both
      4118      Y      Y        9958        both
      4088      Y      Y        9957        both
      2984      Y      Y        9956        both
      2638      Y      Y        9955        both
      7637      Y      Y        9954        both
      7285      Y      Y        9953        both
      8930      Y      Y        9952        both
      7290      Y      Y        9951        both
      4054      Y      Y        9950        both
      7574      Y      N        9949      A only
      1464      Y      Y        9948        both
      5107      Y      Y        9947        both
      1692      Y      Y        9946        both
      8118      Y      Y        9945        both
      7161      Y      Y        9944        both
      9689      Y      Y        9943        both
      2377      Y      Y        9942        both
      4022      Y      Y        9941        both
      4360      Y      Y        9940        both
      1005      Y      Y        9939        both
      8707      Y      Y        9938        both
      8318      Y      Y        9937        both
      2430      Y      Y        9936        both
      9835      Y      Y        9935        both
      6207      Y      Y        9934        both
      7594      Y      Y        9933        both
       881      Y      Y        9932        both
      2954      Y      Y        9931        both
      4696      Y      Y        9930        both
      1375      Y      Y        9929        both
       543      Y      Y        9928        both
      6165      Y      Y        9927        both
      8499      Y      Y        9926        both
      8337      Y      Y        9925        both
      4708      Y      Y        9924        both
      8621      Y      Y        9923        both
      8154      Y      Y        9922        both
      9626      Y      Y        9921        both
      3536      Y      Y        9920        both
       330      Y      Y        9919        both
      4469      Y      Y        9918        both
      6985      Y      Y        9917        both
      1730      Y      Y        9916        both
       989      Y      Y        9915        both
      7375      Y      Y        9914        both
      9590      Y      Y        9913        both
       173      Y      Y        9912        both
      1984      Y      Y        9911        both
      7312      Y      Y        9910        both
      5115      Y      Y        9909        both
      6238      Y      Y        9908        both
      1210      Y      Y        9907        both
      3193      Y      Y        9906        both
      7416      Y      Y        9905        both
      2533      Y      Y        9904        both
      6831      Y      Y        9903        both
      8778      Y      Y        9902        both
       121      Y      Y        9901        both
      2015      Y      Y        9900        both
      9535      Y      Y        9899        both
      4799      Y      Y        9898        both
       135      Y      Y        9897        both
      8801      Y      Y        9896        both
      5037      Y      Y        9895        both
       550      Y      Y        9894        both
      5078      Y      Y        9893        both
      6205      Y      Y        9892        both
       841      Y      Y        9891        both
        57      Y      Y        9890        both
      1071      Y      Y        9889        both
      6624      Y      Y        9888        both
      6736      Y      Y        9887        both
      7847      Y      Y        9886        both
      8826      Y      Y        9885        both
      2664      Y      Y        9884        both
      8723      Y      Y        9883        both
      1498      Y      Y        9882        both
      4511      Y      Y        9881        both
      4139      Y      Y        9880        both
      4979      Y      N        9879      A only
      3495      Y      Y        9878        both
       334      Y      Y        9877        both
      6725      Y      Y        9876        both
      3827      Y      Y        9875        both
      7546      Y      Y        9874        both
      6243      Y      Y        9873        both
      2120      Y      Y        9872        both
      4225      Y      Y        9871        both
      2352      Y      Y        9870        both
      5784      Y      Y        9869        both
      8669      Y      Y        9868        both
      5278      Y      Y        9867        both
      2800      Y      Y        9866        both
       183      Y      Y        9865        both
       741      Y      Y        9864        both
      7581      Y      Y        9863        both
      9791      Y      Y        9862        both
      1163      Y      Y        9861        both
      2840      Y      N        9860      A only
      4623      Y      Y        9859        both
      9899      Y      Y        9858        both
      5062      Y      Y        9856        both
      5986      Y      Y        9855        both
      5844      Y      Y        9854        both
       463      Y      Y        9853        both
      6472      Y      N        9852      A only
      1785      Y      Y        9851        both
      7933      Y      Y        9850        both
      1998      Y      Y        9849        both
      2503      Y      Y        9848        both
      7192      Y      Y        9847        both
       885      Y      Y        9846        both
      1064      Y      Y        9845        both
      7014      Y      Y        9844        both
      8374      Y      Y        9843        both
      6665      Y      Y        9842        both
      2857      Y      Y        9841        both
      2872      Y      Y        9840        both
      7798      N      N        9839     neither
      5167      Y      Y        9838        both
      6821      Y      Y        9837        both
      8284      Y      Y        9836        both
      1446      Y      Y        9835        both
      1779      Y      Y        9834        both
      6388      Y      Y        9833        both
      9056      Y      Y        9832        both
      6109      Y      Y        9830        both
      9780      Y      Y        9829        both
      9145      Y      Y        9828        both
      6438      Y      Y        9827        both
      9248      Y      Y        9826        both
      3275      Y      Y        9825        both
      9128      Y      Y        9824        both
      2347      Y      Y        9823        both
      4451      Y      Y        9822        both
      1751      Y      Y        9821        both
      6666      Y      Y        9820        both
      9787      Y      Y        9819        both
      5319      Y      Y        9818        both
      6315      Y      Y        9817        both
      7563      Y      Y        9816        both
      7861      Y      Y        9815        both
      7222      Y      Y        9814        both
       588      Y      Y        9813        both
      6693      Y      Y        9812        both
      3812      Y      Y        9811        both
      6853      Y      Y        9810        both
      5734      Y      Y        9809        both
      8237      Y      Y        9808        both
      4081      Y      Y        9807        both
      1633      Y      Y        9806        both
      8181      Y      Y        9805        both
      3115      Y      Y        9804        both
      1989      Y      Y        9803        both
      3578      Y      Y        9802        both
      5969      Y      Y        9801        both
      1051      Y      Y        9800        both
      7263      Y      Y        9799        both
      4897      Y      Y        9798        both
        22      Y      Y        9797        both
      3499      Y      Y        9796        both
      9258      Y      Y        9795        both
      2722      Y      Y        9794        both
      5527      Y      Y        9793        both
      6480      Y      Y        9792        both
      7360      Y      Y        9791        both
      5231      Y      Y        9790        both
      5828      Y      Y        9789        both
       210      Y      Y        9788        both
      9879      Y      Y        9787        both
      5547      Y      Y        9786        both
      7018      Y      Y        9785        both
      1212      Y      Y        9784        both
      4595      Y      Y        9783        both
      1182      Y      Y        9782        both
      4232      Y      Y        9781        both
      3593      Y      Y        9780        both
      6924      Y      Y        9779        both
      8431      Y      Y        9778        both
      2408      Y      Y        9777        both
       313      Y      Y        9776        both
      5009      Y      Y        9775        both
      5281      Y      Y        9774        both
      6362      Y      Y        9773        both
      8001      Y      Y        9772        both
      1103      Y      Y        9771        both
      4950      Y      Y        9770        both
      6511      Y      Y        9769        both
       309      Y      Y        9768        both
      3500      Y      Y        9767        both
      6296      Y      Y        9766        both
       681      Y      Y        9765        both
      6426      Y      Y        9764        both
      8276      Y      Y        9763        both
      5225      Y      Y        9762        both
      5794      Y      Y        9761        both
      4503      Y      Y        9760        both
      6513      Y      Y        9759        both
      8019      Y      Y        9758        both
      8916      Y      Y        9757        both
      8274      Y      Y        9756        both
      4269      Y      Y        9755        both
      4519      Y      Y        9754        both
      1649      Y      Y        9753        both
      7328      Y      Y        9752        both
      8775      Y      Y        9751        both
      7968      Y      Y        9750        both
      6789      Y      Y        9749        both
       245      Y      Y        9748        both
      6578      Y      Y        9747        both
      4750      Y      Y        9746        both
      8878      Y      Y        9745        both
      9588      Y      Y        9744        both
      2068      Y      Y        9743        both
      2834      N      N        9742     neither
      4495      Y      Y        9741        both
      3937      Y      Y        9740        both
      1400      Y      Y        9739        both
      5060      Y      Y        9737        both
      5066      Y      Y        9736        both
      1675      Y      Y        9735        both
      9788      Y      Y        9734        both
      9119      Y      Y        9733        both
      5978      Y      Y        9732        both
      4261      Y      Y        9731        both
      6935      Y      Y        9730        both
       113      Y      Y        9729        both
      5240      Y      Y        9728        both
       962      Y      N        9727      A only
      1853      Y      Y        9726        both
      9456      Y      Y        9725        both
      6974      Y      Y        9724        both
      3173      Y      Y        9723        both
      1609      Y      Y        9722        both
      7275      Y      Y        9721        both
      7891      Y      Y        9720        both
      5235      Y      Y        9719        both
      6711      Y      Y        9718        both
      9598      Y      Y        9717        both
      2231      Y      Y        9716        both
      1897      Y      Y        9715        both
       346      Y      Y        9714        both
